Files,Elements,Subsets,LB,Scores_VND,Gap_VND,Time_VND,Scores_SA,Gap_SA,Time_SA,Scores_LS,Gap_LS,Time_LS
scp41,200,1000,194,464,2.392,66.38048,457,2.356,265.9543,464,2.392,194.25882
scp42,200,1000,219,566,2.584,81.9109,573,2.616,318.23587,599,2.735,185.85767
scpnrg1,1000,10000,53,241,4.547,329.86316,236,4.453,329.1465,241,4.547,313.46548
scpnrg2,1000,10000,49,199,4.061,325.64615,202,4.122,328.35385,198,4.041,317.22665
scpnrg3,1000,10000,49,212,4.327,305.04962,205,4.184,306.8926,211,4.306,352.7319
scpnrg4,1000,10000,51,219,4.294,302.08017,221,4.333,308.1545,224,4.392,373.29153
scpnrg5,1000,10000,51,221,4.333,302.5499,218,4.275,313.1078,219,4.294,347.537
scpnrh1,1000,10000,18,85,4.722,287.9095,80,4.444,330.36304,80,4.444,343.93628
scpnrh2,1000,10000,18,83,4.611,302.747,77,4.278,317.33344,82,4.556,346.71912
scpnrh3,1000,10000,18,79,4.389,303.5528,81,4.5,348.88947,80,4.444,348.1915
scpnrh4,1000,10000,18,76,4.222,318.37418,77,4.278,322.15634,76,4.222,337.86264
scpnrh5,1000,10000,18,71,3.944,320.5488,69,3.833,330.9373,75,4.167,327.074
Mean,866.6666666666666,8500.0,18.0,209.66666666666666,4.0355000495910645,270.5510559082031,208.0,3.9726667404174805,318.2937316894531,212.41666666666666,4.045000076293945,315.6793518066406
